Date (Belgium),Price,Open,High,Low,Change %
2022-07-21,1.844,1.888,1.990,1.815,-1.13%
2022-07-20,1.865,1.853,1.890,1.773,-1.22%
2022-07-19,1.888,1.794,1.913,1.784,2.66%
2022-07-18,1.839,1.818,1.890,1.810,4.02%
2022-07-15,1.768,1.750,1.822,1.724,-1.45%
2022-07-14,1.794,1.788,1.893,1.788,1.41%
2022-07-13,1.769,1.793,1.852,1.736,1.09%
2022-07-12,1.750,1.865,1.867,1.717,-7.21%
2022-07-11,1.886,1.958,1.960,1.848,-4.94%
2022-07-08,1.984,1.925,1.999,1.894,1.90%
2022-07-07,1.947,1.896,1.991,1.890,4.68%
2022-07-06,1.860,1.921,1.934,1.771,-1.85%
2022-07-05,1.895,2.014,2.039,1.879,-5.96%
2022-07-04,2.015,1.938,2.044,1.918,7.18%
2022-07-01,1.880,2.025,2.100,1.809,-7.98%
2022-06-30,2.043,2.118,2.120,2.019,-5.33%
2022-06-29,2.158,2.246,2.284,2.136,-4.43%
2022-06-28,2.258,2.189,2.300,2.185,3.82%
2022-06-27,2.175,2.096,2.201,2.078,5.94%
2022-06-25,2.053,2.053,2.053,2.053,-0.19%
2022-06-24,2.057,2.036,2.133,1.985,-0.48%
2022-06-23,2.067,2.268,2.282,2.025,-8.38%
2022-06-22,2.256,2.349,2.359,2.214,-6.43%
2022-06-21,2.411,2.392,2.444,2.353,0.25%
2022-06-20,2.405,2.316,2.407,2.288,4.52%
