Date (France),Price,Open,High,Low,Change %
2022-05-31,1.645,1.594,1.674,1.538,5.25%
2022-05-30,1.563,1.526,1.594,1.523,6.07%
2022-05-29,1.474,1.474,1.474,1.474,-0.37%
2022-05-27,1.479,1.500,1.526,1.446,-2.25%
2022-05-26,1.513,1.472,1.528,1.406,2.02%
2022-05-25,1.483,1.489,1.512,1.438,-0.94%
2022-05-24,1.497,1.530,1.566,1.473,-2.60%
2022-05-23,1.537,1.489,1.556,1.455,4.49%
2022-05-20,1.471,1.491,1.515,1.450,0.41%
2022-05-19,1.465,1.535,1.552,1.406,-4.12%
2022-05-18,1.528,1.563,1.598,1.504,-1.04%
2022-05-17,1.544,1.499,1.577,1.476,6.48%
2022-05-16,1.450,1.459,1.534,1.438,-0.07%
2022-05-14,1.451,1.451,1.451,1.451,-0.34%
2022-05-13,1.456,1.409,1.481,1.385,5.89%
2022-05-12,1.375,1.430,1.451,1.368,-8.09%
2022-05-11,1.496,1.559,1.627,1.476,-3.42%
2022-05-10,1.549,1.630,1.658,1.517,-4.74%
2022-05-09,1.626,1.648,1.721,1.625,-2.40%
2022-05-06,1.666,1.549,1.688,1.543,6.11%
2022-05-05,1.570,1.491,1.574,1.419,4.04%
2022-05-04,1.509,1.545,1.556,1.488,2.10%
2022-05-03,1.478,1.500,1.544,1.434,-1.47%
2022-05-02,1.500,1.462,1.509,1.427,2.53%
2022-04-29,1.463,1.378,1.479,1.366,4.35%
2022-04-28,1.402,1.306,1.422,1.260,7.60%
2022-04-27,1.303,1.321,1.358,1.290,-0.69%
2022-04-26,1.312,1.364,1.367,1.288,0.23%
2022-04-25,1.309,1.391,1.403,1.301,-8.27%
2022-04-22,1.427,1.395,1.431,1.369,1.42%
2022-04-21,1.407,1.368,1.410,1.330,5.16%
2022-04-20,1.338,1.410,1.423,1.311,-3.88%
2022-04-19,1.392,1.344,1.433,1.329,4.62%
2022-04-18,1.331,1.337,1.337,1.331,0.00%
2022-04-15,1.331,1.337,1.337,1.331,-0.86%
2022-04-14,1.342,1.289,1.350,1.236,5.50%
2022-04-13,1.272,1.360,1.373,1.257,-2.08%
2022-04-12,1.299,1.339,1.377,1.260,-1.29%
2022-04-11,1.316,1.259,1.322,1.246,4.53%
2022-04-08,1.259,1.218,1.296,1.207,3.54%
2022-04-07,1.216,1.187,1.257,1.137,3.58%
2022-04-06,1.174,1.160,1.237,1.153,1.73%
2022-04-05,1.154,1.049,1.170,1.034,14.37%
2022-04-04,1.009,1.058,1.067,0.962,-1.08%
2022-04-01,1.020,1.029,1.076,1.003,3.55%
2022-03-31,0.985,1.076,1.089,0.959,-8.54%
2022-03-30,1.077,1.055,1.147,1.043,1.13%
2022-03-29,1.065,1.041,1.157,1.016,6.50%
2022-03-28,1.000,1.036,1.063,0.976,-0.99%
2022-03-25,1.010,0.985,1.023,0.931,2.75%
2022-03-24,0.983,0.947,1.016,0.910,5.70%
2022-03-23,0.930,0.970,0.976,0.916,-3.12%
2022-03-22,0.960,0.934,0.992,0.931,4.80%
2022-03-21,0.916,0.865,0.923,0.847,9.70%
2022-03-18,0.835,0.849,0.860,0.796,-0.36%
2022-03-17,0.838,0.861,0.868,0.813,-1.64%
2022-03-16,0.852,0.850,0.871,0.819,5.32%
2022-03-15,0.809,0.828,0.847,0.792,-3.58%
2022-03-14,0.839,0.766,0.854,0.752,14.77%
2022-03-11,0.731,0.747,0.794,0.728,-2.27%
2022-03-10,0.748,0.640,0.779,0.604,15.61%
2022-03-09,0.647,0.564,0.667,0.532,15.74%
2022-03-08,0.559,0.467,0.582,0.458,17.19%
2022-03-07,0.477,0.445,0.494,0.410,11.45%
2022-03-04,0.428,0.483,0.502,0.409,-13.54%
2022-03-03,0.495,0.473,0.551,0.463,3.34%
2022-03-02,0.479,0.387,0.483,0.371,36.86%
2022-03-01,0.350,0.601,0.610,0.349,-43.18%
2022-02-28,0.616,0.654,0.703,0.613,-12.99%
2022-02-25,0.708,0.676,0.715,0.644,6.95%
2022-02-24,0.662,0.669,0.704,0.641,-9.07%
2022-02-23,0.728,0.741,0.763,0.724,-1.22%
2022-02-22,0.737,0.664,0.775,0.664,2.93%
2022-02-21,0.716,0.714,0.733,0.681,4.37%
2022-02-18,0.686,0.715,0.720,0.683,-2.14%
2022-02-17,0.701,0.736,0.758,0.697,-6.78%
2022-02-16,0.752,0.795,0.803,0.729,-4.08%
2022-02-15,0.784,0.743,0.802,0.739,2.89%
2022-02-14,0.762,0.714,0.766,0.679,-1.30%
2022-02-11,0.772,0.752,0.774,0.719,2.93%
2022-02-10,0.750,0.687,0.762,0.674,11.94%
2022-02-09,0.670,0.692,0.699,0.657,-6.69%
2022-02-08,0.718,0.698,0.737,0.651,6.53%
2022-02-07,0.674,0.629,0.705,0.625,3.85%
2022-02-04,0.649,0.594,0.672,0.590,10.56%
2022-02-03,0.587,0.453,0.596,0.444,31.32%
2022-02-02,0.447,0.441,0.469,0.416,-0.89%
2022-02-01,0.451,0.414,0.458,0.396,5.62%
2022-01-31,0.427,0.373,0.441,0.360,16.99%
2022-01-28,0.365,0.360,0.405,0.352,5.80%
2022-01-27,0.345,0.374,0.391,0.343,0.00%
2022-01-26,0.345,0.327,0.353,0.324,3.60%
2022-01-25,0.333,0.320,0.338,0.306,8.47%
2022-01-24,0.307,0.329,0.331,0.294,-7.25%
2022-01-21,0.331,0.338,0.351,0.310,-8.82%
2022-01-20,0.363,0.387,0.387,0.344,-3.20%
2022-01-19,0.375,0.393,0.412,0.372,1.90%
2022-01-18,0.368,0.371,0.379,0.350,2.79%
2022-01-17,0.358,0.351,0.359,0.341,7.83%
2022-01-14,0.332,0.282,0.334,0.274,37.19%
2022-01-13,0.242,0.281,0.298,0.228,-11.68%
2022-01-12,0.274,0.292,0.304,0.248,-8.05%
2022-01-11,0.298,0.284,0.313,0.269,4.56%
2022-01-10,0.285,0.292,0.306,0.268,-1.38%
2022-01-07,0.289,0.272,0.296,0.259,11.58%
2022-01-06,0.259,0.252,0.289,0.244,9.75%
2022-01-05,0.236,0.233,0.241,0.220,0.85%
2022-01-04,0.234,0.234,0.241,0.200,1.30%
2022-01-03,0.231,0.208,0.245,0.177,19.07%
2021-12-31,0.194,0.192,0.194,0.192,-2.51%
2021-12-30,0.199,0.189,0.206,0.167,2.58%
2021-12-29,0.194,0.127,0.201,0.125,56.45%
2021-12-28,0.124,0.129,0.154,0.122,-2.36%
2021-12-27,0.127,0.122,0.153,0.119,6.72%
2021-12-24,0.119,0.119,0.119,0.119,0.85%
2021-12-23,0.118,0.088,0.138,0.082,53.25%
2021-12-22,0.077,0.050,0.100,0.050,26.23%
2021-12-21,0.061,-0.009,0.065,-0.019,-535.71%
2021-12-20,-0.014,-0.040,0.001,-0.049,-48.15%
2021-12-17,-0.027,-0.010,0.005,-0.035,-640.00%
2021-12-16,0.005,-0.021,0.045,-0.028,-135.71%
2021-12-15,-0.014,-0.025,0.003,-0.033,-12.50%
2021-12-14,-0.016,-0.036,-0.003,-0.039,-52.94%
2021-12-13,-0.034,-0.002,0.010,-0.038,466.67%
2021-12-10,-0.006,0.013,0.026,-0.014,-400.00%
2021-12-09,0.002,0.025,0.028,-0.007,-95.45%
2021-12-08,0.044,-0.025,0.051,-0.056,-246.67%
2021-12-07,-0.030,0.002,0.005,-0.035,-6.25%
2021-12-06,-0.032,-0.032,-0.007,-0.039,28.00%
2021-12-03,-0.025,-0.017,0.008,-0.032,92.31%
2021-12-02,-0.013,0.015,0.062,-0.035,-150.00%
2021-12-01,0.026,0.015,0.062,0.012,73.33%
2021-11-30,0.015,0.023,0.041,-0.009,-65.91%
2021-11-29,0.044,0.043,0.070,0.024,41.94%
2021-11-27,0.031,0.031,0.031,0.031,-8.82%
2021-11-26,0.034,0.060,0.070,0.026,-69.91%
2021-11-25,0.113,0.139,0.145,0.111,-20.42%
2021-11-24,0.142,0.118,0.171,0.115,1.43%
2021-11-23,0.140,0.066,0.142,0.057,169.23%
2021-11-22,0.052,0.019,0.055,-0.007,940.00%
2021-11-20,0.005,0.005,0.005,0.005,66.67%
2021-11-19,0.003,0.085,0.087,-0.002,-95.59%
2021-11-18,0.068,0.095,0.108,0.063,-39.82%
2021-11-17,0.113,0.119,0.133,0.100,0.89%
2021-11-16,0.112,0.126,0.139,0.102,-15.15%
2021-11-15,0.132,0.083,0.133,0.069,26.92%
2021-11-12,0.104,0.132,0.146,0.092,-19.38%
2021-11-11,0.129,0.114,0.138,0.096,11.21%
2021-11-10,0.116,0.060,0.118,0.048,152.17%
2021-11-09,0.046,0.089,0.100,0.041,-51.58%
2021-11-08,0.095,0.071,0.097,0.060,58.33%
2021-11-05,0.060,0.116,0.126,0.057,-47.83%
2021-11-04,0.115,0.174,0.191,0.107,-36.46%
2021-11-03,0.181,0.182,0.201,0.151,-5.24%
2021-11-02,0.191,0.241,0.247,0.178,-31.05%
2021-11-01,0.277,0.263,0.317,0.255,3.17%
2021-10-30,0.269,0.269,0.269,0.269,-2.36%
2021-10-29,0.275,0.243,0.308,0.231,30.33%
2021-10-28,0.211,0.166,0.259,0.164,27.88%
