Date (Spain),Price,Open,High,Low,Change %
2022-07-08,2.420,2.376,2.426,2.345,0.79%
2022-07-07,2.401,2.327,2.421,2.326,5.49%
2022-07-06,2.276,2.331,2.336,2.194,-1.30%
2022-07-05,2.306,2.406,2.428,2.294,-4.47%
2022-07-04,2.414,2.333,2.435,2.318,6.25%
2022-07-01,2.272,2.461,2.522,2.209,-7.72%
2022-06-30,2.462,2.574,2.574,2.449,-5.16%
2022-06-29,2.596,2.665,2.734,2.587,-4.98%
2022-06-28,2.732,2.691,2.770,2.685,2.59%
2022-06-27,2.663,2.604,2.696,2.586,4.70%
2022-06-25,2.543,2.543,2.543,2.543,-0.37%
2022-06-24,2.553,2.523,2.614,2.471,1.11%
2022-06-23,2.525,2.740,2.740,2.497,-6.27%
2022-06-22,2.694,2.807,2.808,2.669,-5.54%
2022-06-21,2.852,2.849,2.870,2.788,0.04%
2022-06-20,2.851,2.771,2.851,2.731,4.03%
2022-06-19,2.740,2.740,2.740,2.740,0.00%
2022-06-18,2.740,2.740,2.740,2.740,-0.42%
2022-06-17,2.752,2.893,2.901,2.694,-4.41%
2022-06-16,2.879,3.044,3.045,2.879,-0.10%
2022-06-15,2.882,2.968,3.210,2.814,-7.81%
2022-06-14,3.126,2.968,3.132,2.942,4.72%
2022-06-13,2.985,2.834,2.993,2.798,7.88%
2022-06-10,2.767,2.669,2.769,2.627,6.06%
2022-06-09,2.609,2.487,2.629,2.439,5.24%
2022-06-08,2.479,2.433,2.494,2.426,2.65%
2022-06-07,2.415,2.490,2.490,2.396,-2.27%
2022-06-06,2.471,2.374,2.484,2.373,1.69%
2022-06-03,2.430,2.381,2.438,2.361,2.45%
